"","faggch","faggat","faggde","faggfr","faggit"
"2015-11-07 20:00:00",29.9528328611898,281.678867883529,350.492295615596,53.5841789518993,475
"2015-11-07 21:00:00",26.4129097805473,284.264610654219,327.147563409296,52.3313246548888,475
"2015-11-07 22:00:00",19.3498545242944,251.353011894647,308.553216607357,52.7736047906304,475
"2015-11-07 23:00:00",21.8608193277311,209.935264389331,288.713179742068,51.1809980165718,475
"2015-11-08 00:00:00",21.4428374233129,151.451911331087,292.94369703927,50.6486847967329,475
"2015-11-08 01:00:00",22.1228313989004,124.711847946726,296.50252675331,52.8210614940925,475
"2015-11-08 02:00:00",22.3820372064654,126.243848226313,306.133598214286,55.1175835475578,475
"2015-11-08 03:00:00",22.9146411338963,125.038668508287,342.084434612369,56.9990921369995,475
"2015-11-08 04:00:00",24.0439079422383,155.199086617406,382.807234579448,55.0992914441138,475
"2015-11-08 05:00:00",25.0510306242638,181.665414171657,413.390009779093,56.6654039371459,475
"2015-11-08 06:00:00",24.6330858330858,187.049480016313,453.012313613514,54.3741886629165,475
"2015-11-08 07:00:00",24.3975919832486,180.092980950747,468.598995093664,54.3104137499079,475
"2015-11-08 08:00:00",22.2367405832321,171.767904509284,460.112528355409,52.4427698175078,475
"2015-11-08 09:00:00",21.4189096573209,161.396670880742,449.345391659224,50.8483571268663,475
"2015-11-08 10:00:00",21.8142370783039,151.418831711767,440.14149600076,49.5634868032718,475
"2015-11-08 11:00:00",21.9939777640519,158.092676657979,443.999244687037,50.0287914828948,475
"2015-11-08 12:00:00",22.6081151832461,158.693933037183,476.265822878811,52.0323162939297,475
"2015-11-08 13:00:00",22.5722478474785,150.615706294948,511.491954305984,52.8269200746649,475
"2015-11-08 14:00:00",23.1006693033161,148.252691195373,562.44613384093,52.7302055673765,475
"2015-11-08 15:00:00",22.0523953911461,145.218671403197,590.153417996028,52.5063127104815,475
"2015-11-08 16:00:00",28.0791318248893,152.494599143207,558.454844986201,51.2045332213385,475
